signal,decision,selected_order,family,economic_hypothesis,selection_reason,main_risk,research_start,research_end,selection_status
amihud_illiquidity_20d_sector_neutral,selected,1,liquidity,Relative illiquidity may contain information about liquidity premia and trading frictions.,"Highest absolute mean IC, broad sector coverage and reasonable turnover.",Performance differs between temporal subperiods.,2014-01-01,2019-12-31,frozen
reversal_1m_sector_neutral,selected,2,short_term_reversal,Stocks with weak recent one-month performance may experience a short-term rebound.,"Strong IC, positive results in both subperiods and broad sector evidence.",Very high ranking turnover and potential trading costs.,2014-01-01,2019-12-31,frozen
volatility_60d_sector_neutral,selected,3,risk,Relative volatility may capture the low-risk anomaly and differences in required returns.,High directional spread combined with low turnover.,Limited consistency across individual years and sectors.,2014-01-01,2019-12-31,frozen
distance_sma_50d_sector_neutral,selected,4,short_term_trend,Distance from the 50-day moving average captures short-term trend strength or price overextension.,Useful IC and reasonable temporal and sector stability.,High turnover and partial overlap with one-month reversal.,2014-01-01,2019-12-31,frozen
beta_60d_market_sector_neutral,selected,5,market_risk,Market beta captures differences in systematic risk and exposure to broad market movements.,"Largest directional spread, moderate turnover and positive results in both subperiods.",Partial correlation with total volatility.,2014-01-01,2019-12-31,frozen
return_3m_sector_neutral,selected,6,momentum,Recent medium-term winners may continue outperforming because information is incorporated gradually.,Positive results in both subperiods and useful exposure to the momentum family.,Predictive evidence is concentrated in relatively few sectors.,2014-01-01,2019-12-31,frozen
max_drawdown_126d_sector_neutral,selected,7,deep_reversal,Stocks experiencing deep medium-term drawdowns may subsequently recover.,Large directional spread and relatively low turnover.,Evidence is dependent on the market regime.,2014-01-01,2019-12-31,frozen
average_dollar_volume_20d_sector_neutral,selected,8,liquidity_capacity,"Dollar trading volume captures relative liquidity, market attention and implementation capacity.",Low turnover and complementary liquidity information.,Weak individual predictive strength.,2014-01-01,2019-12-31,frozen
distance_sma_200d_sector_neutral,excluded,,long_term_trend,Distance from the 200-day moving average captures long-term trend strength.,Excluded because IC and quintile-spread evidence point in conflicting directions.,Unstable and economically inconsistent ranking behaviour.,2014-01-01,2019-12-31,frozen
dollar_volume_change_20d_60d_sector_neutral,excluded,,liquidity_change,Changes in dollar trading volume may indicate shifts in investor attention.,Excluded because its mean IC is close to zero.,Very high turnover without meaningful predictive evidence.,2014-01-01,2019-12-31,frozen
downside_volatility_60d_sector_neutral,excluded,,downside_risk,Downside volatility isolates adverse price variation.,Excluded because it is weak and largely overlaps with volatility_60d.,Low temporal stability and substantial redundancy.,2014-01-01,2019-12-31,frozen
momentum_12_1_sector_neutral,excluded,,long_term_momentum,Returns over months twelve to one may exhibit persistence.,Excluded because its mean IC is close to zero in the research sample.,No meaningful individual predictive evidence.,2014-01-01,2019-12-31,frozen
momentum_6_1_sector_neutral,excluded,,medium_term_momentum,Returns over months six to one may persist because of gradual information diffusion.,Excluded because the evidence is weak and redundant with other trend variables.,High correlation with the moving-average trend signal.,2014-01-01,2019-12-31,frozen
positive_day_ratio_60d_sector_neutral,excluded,,trend_breadth,The proportion of positive sessions may measure the breadth of a price trend.,Excluded because its mean IC is effectively zero.,Does not meaningfully distinguish future winners and losers.,2014-01-01,2019-12-31,frozen
return_1m_sector_neutral,excluded,,short_term_return,Recent one-month returns may exhibit continuation or reversal.,Excluded because it is the exact inverse representation of reversal_1m.,Perfect redundancy with the selected reversal signal.,2014-01-01,2019-12-31,frozen
return_1w_sector_neutral,excluded,,very_short_term_return,One-week returns may capture very short-term continuation or reversal.,Excluded because predictive strength is small relative to its turnover.,Extremely high trading intensity.,2014-01-01,2019-12-31,frozen
sma_50_200_spread_sector_neutral,excluded,,moving_average_trend,The spread between short and long moving averages captures medium-term trend direction.,Excluded because it is weak and highly redundant with other trend variables.,High correlation with momentum_6_1 and limited stability.,2014-01-01,2019-12-31,frozen
volatility_20d_sector_neutral,excluded,,short_term_risk,Short-term volatility may capture changes in risk and investor uncertainty.,"Excluded in favour of volatility_60d, which provides better IC and lower turnover.",High turnover and limited sector breadth.,2014-01-01,2019-12-31,frozen
zero_volume_ratio_60d_sector_neutral,excluded,,trading_activity,The frequency of zero-volume sessions may identify illiquid securities.,Excluded because it has no variation in the current universe.,Cannot rank the large and liquid companies in the universe.,2014-01-01,2019-12-31,frozen
